Type,ID,Batch,Harvest Batch Name,LegacyId,Status,Created,Last Modified,Strain,QA Result,QA Total,Room,Available,Finished Date,Grams
Shake/Trim (by Strain),1A40E01000170C4000008862,,,,In Stock,02-21-26 00:00:00,04-10-26 11:25:09,50/50,,,Trim Vault 3,985,,985
Flower & Bud (Count),1A40E01000170C4000010505,0316-F1-BG,0316-F1-BG,,In Stock,04-23-26 00:00:00,04-27-26 11:34:01,Bacio Gelato,Pass,32.32396,Vault: Cased A,32,,112
Flower & Bud (Count),1A40E01000170C4000010508,0316-F1-BG,0316-F1-BG,,In Stock,04-23-26 00:00:00,04-27-26 11:34:01,Bacio Gelato,Pass,32.32396,Vault: Cased A,32,,112
Flower & Bud (Count),1A40E01000170C4000010420,0303-F4-BG,0303-F4-BG,,In Stock,04-23-26 00:00:00,04-23-26 10:55:44,Bacio Gelato,Pass,31.34871,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000009772,0303-F4-BG,0303-F4-BG,,In Stock,03-30-26 00:00:00,03-30-26 12:25:32,Bacio Gelato,Pass,31.34871,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000009771,0303-F4-BG,0303-F4-BG,,In Stock,03-30-26 00:00:00,03-30-26 12:25:32,Bacio Gelato,Pass,31.34871,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000009770,0303-F4-BG,0303-F4-BG,,In Stock,03-30-26 00:00:00,03-30-26 12:25:32,Bacio Gelato,Pass,31.34871,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000009769,0303-F4-BG,0303-F4-BG,,In Stock,03-30-26 00:00:00,03-30-26 12:25:32,Bacio Gelato,Pass,31.34871,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000009766,0303-F4-BG,0303-F4-BG,,In Stock,03-30-26 00:00:00,03-30-26 12:25:32,Bacio Gelato,Pass,31.34871,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000009764,0303-F4-BG,0303-F4-BG,,In Stock,03-30-26 00:00:00,03-30-26 12:25:32,Bacio Gelato,Pass,31.34871,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000009763,0303-F4-BG,0303-F4-BG,,In Stock,03-30-26 00:00:00,03-30-26 12:25:32,Bacio Gelato,Pass,31.34871,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000009757,0303-F4-BG,0303-F4-BG,,In Stock,03-30-26 00:00:00,03-30-26 12:25:32,Bacio Gelato,Pass,31.34871,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000009756,0303-F4-BG,0303-F4-BG,,In Stock,03-30-26 00:00:00,03-30-26 12:25:32,Bacio Gelato,Pass,31.34871,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000009754,0303-F4-BG,0303-F4-BG,,In Stock,03-30-26 00:00:00,03-30-26 12:25:32,Bacio Gelato,Pass,31.34871,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000009752,0303-F4-BG,0303-F4-BG,,In Stock,03-30-26 00:00:00,03-30-26 12:25:32,Bacio Gelato,Pass,31.34871,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000009750,0303-F4-BG,0303-F4-BG,,In Stock,03-30-26 00:00:00,03-30-26 12:25:32,Bacio Gelato,Pass,31.34871,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000009748,0303-F4-BG,0303-F4-BG,,In Stock,03-30-26 00:00:00,04-02-26 11:27:19,Bacio Gelato,Pass,31.34871,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000009739,0303-F4-BG,0303-F4-BG,,In Stock,03-30-26 00:00:00,03-30-26 12:25:32,Bacio Gelato,Pass,31.34871,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000009738,0303-F4-BG,0303-F4-BG,,In Stock,03-30-26 00:00:00,03-30-26 12:25:32,Bacio Gelato,Pass,31.34871,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000010435,0303-F4-BG,0303-F4-BG,,In Stock,04-23-26 00:00:00,04-23-26 10:55:44,Bacio Gelato,Pass,31.34871,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000010434,0303-F4-BG,0303-F4-BG,,In Stock,04-23-26 00:00:00,04-23-26 10:55:44,Bacio Gelato,Pass,31.34871,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000010433,0303-F4-BG,0303-F4-BG,,In Stock,04-23-26 00:00:00,04-23-26 10:55:44,Bacio Gelato,Pass,31.34871,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000010431,0303-F4-BG,0303-F4-BG,,In Stock,04-23-26 00:00:00,04-23-26 10:55:44,Bacio Gelato,Pass,31.34871,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000010430,0303-F4-BG,0303-F4-BG,,In Stock,04-23-26 00:00:00,04-23-26 10:55:44,Bacio Gelato,Pass,31.34871,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000010429,0303-F4-BG,0303-F4-BG,,In Stock,04-23-26 00:00:00,04-23-26 10:55:44,Bacio Gelato,Pass,31.34871,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000010428,0303-F4-BG,0303-F4-BG,,In Stock,04-23-26 00:00:00,04-23-26 10:55:44,Bacio Gelato,Pass,31.34871,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000010427,0303-F4-BG,0303-F4-BG,,In Stock,04-23-26 00:00:00,04-23-26 10:55:44,Bacio Gelato,Pass,31.34871,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000010426,0303-F4-BG,0303-F4-BG,,In Stock,04-23-26 00:00:00,04-23-26 10:55:44,Bacio Gelato,Pass,31.34871,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000010424,0303-F4-BG,0303-F4-BG,,In Stock,04-23-26 00:00:00,04-23-26 10:55:44,Bacio Gelato,Pass,31.34871,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000010423,0303-F4-BG,0303-F4-BG,,In Stock,04-23-26 00:00:00,04-23-26 10:55:44,Bacio Gelato,Pass,31.34871,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000010421,0303-F4-BG,0303-F4-BG,,In Stock,04-23-26 00:00:00,04-23-26 10:55:44,Bacio Gelato,Pass,31.34871,Vault: Samples,1,,2
Flower & Buds (Bulk),1A40E01000170C4000010252,0316-F1-BG,0316-F1-BG,,In Stock,03-30-26 00:00:00,04-13-26 11:57:28,Bacio Gelato,Pass,32.32396,Vault: As,224,,224
Flower & Buds (Bulk),1A40E01000170C4000010307,0330-F2-BG,0330-F2-BG,,In Stock,04-13-26 00:00:00,04-13-26 14:11:45,Bacio Gelato,,,Trim Vault 1,2645,,2645
Flower & Buds (Bulk),1A40E01000170C4000010513,0413-F3-BG,0413-F3-BG,,In Stock,04-24-26 00:00:00,04-30-26 10:42:00,Bacio Gelato,,,Awaiting Compliance Testing,6720,,6720
Flower & Buds (Bulk),1A40E01000170C4000010253,0316-F1-BG,0316-F1-BG,,In Stock,03-30-26 00:00:00,04-15-26 12:54:04,Bacio Gelato,Pass,32.32396,Vault: Bs,224,,224
Flower & Buds (Bulk),1A40E01000170C4000009194,0216-F35-BG,0216-F35-BG,,In Stock,02-26-26 00:00:00,03-26-26 11:23:28,Bacio Gelato,Pass,29.64451,Vault: Bulk Samples,40,,40
Shake/Trim (by Strain),1A40E01000170C4000010549,0413-F3-BG,0413-F3-BG,,In Stock,04-28-26 00:00:00,04-28-26 15:26:07,Bacio Gelato,,,Trim Vault 2,3594,,3594
Shake/Trim (by Strain),1A40E01000170C4000008921,0203-F2-BG,0203-F2-BG,,In Stock,02-25-26 00:00:00,04-10-26 11:27:43,Bacio Gelato,,,Trim Vault 3,906,,906
Flower & Bud (Count),1A40E01000170C4000009002,1226-F46-BIS,1226-F46-BIS,,In Stock,02-27-26 00:00:00,03-06-26 12:48:01,Biscotti,Pass,32.15798,Vault: Cased A,32,,112
Flower & Bud (Count),1A40E01000170C4000010082,0216-F35-BIS,0216-F35-BIS,,In Stock,04-02-26 00:00:00,04-21-26 10:19:16,Biscotti,Pass,29.39732,Vault: Cased A,31,,108.5
Flower & Bud (Count),1A40E01000170C4000010246,0216-F35-BIS,0216-F35-BIS,,In Stock,04-08-26 00:00:00,04-13-26 15:24:37,Biscotti,Pass,29.39732,Vault: Cased A,32,,112
Flower & Bud (Count),1A40E01000170C4000010378,0216-F35-BIS,0216-F35-BIS,,In Stock,04-21-26 00:00:00,04-21-26 12:07:34,Biscotti,Pass,29.39732,Vault: Staged A,32,,112
Flower & Bud (Count),1A40E01000170C4000010383,0216-F35-BIS,0216-F35-BIS,,In Stock,04-21-26 00:00:00,04-21-26 12:07:34,Biscotti,Pass,29.39732,Vault: Staged A,32,,112
Flower & Bud (Count),1A40E01000170C4000010382,0216-F35-BIS,0216-F35-BIS,,In Stock,04-21-26 00:00:00,04-21-26 12:07:34,Biscotti,Pass,29.39732,Vault: Staged A,32,,112
Flower & Bud (Count),1A40E01000170C4000010381,0216-F35-BIS,0216-F35-BIS,,In Stock,04-21-26 00:00:00,04-21-26 12:07:34,Biscotti,Pass,29.39732,Vault: Staged A,32,,112
Flower & Bud (Count),1A40E01000170C4000010380,0216-F35-BIS,0216-F35-BIS,,In Stock,04-21-26 00:00:00,04-21-26 12:07:34,Biscotti,Pass,29.39732,Vault: Staged A,32,,112
Flower & Bud (Count),1A40E01000170C4000010379,0216-F35-BIS,0216-F35-BIS,,In Stock,04-21-26 00:00:00,04-21-26 12:07:34,Biscotti,Pass,29.39732,Vault: Staged A,32,,112
Flower & Bud (Count),1A40E01000170C4000009477,0203-F2-BIS,0203-F2-BIS,,In Stock,03-19-26 00:00:00,03-25-26 08:34:27,Biscotti,Pass,26.57565,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000009847,0203-F2-BIS,0203-F2-BIS,,In Stock,03-30-26 00:00:00,03-30-26 12:37:21,Biscotti,Pass,26.57565,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000009846,0203-F2-BIS,0203-F2-BIS,,In Stock,03-30-26 00:00:00,03-30-26 12:37:21,Biscotti,Pass,26.57565,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000009845,0203-F2-BIS,0203-F2-BIS,,In Stock,03-30-26 00:00:00,03-30-26 12:37:21,Biscotti,Pass,26.57565,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000009843,0203-F2-BIS,0203-F2-BIS,,In Stock,03-30-26 00:00:00,03-30-26 12:37:21,Biscotti,Pass,26.57565,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000009842,0203-F2-BIS,0203-F2-BIS,,In Stock,03-30-26 00:00:00,03-30-26 12:37:21,Biscotti,Pass,26.57565,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000009836,0203-F2-BIS,0203-F2-BIS,,In Stock,03-30-26 00:00:00,03-30-26 12:37:21,Biscotti,Pass,26.57565,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000009830,0203-F2-BIS,0203-F2-BIS,,In Stock,03-30-26 00:00:00,03-30-26 12:37:21,Biscotti,Pass,26.57565,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000009828,0203-F2-BIS,0203-F2-BIS,,In Stock,03-30-26 00:00:00,03-30-26 12:37:21,Biscotti,Pass,26.57565,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000009826,0203-F2-BIS,0203-F2-BIS,,In Stock,03-30-26 00:00:00,03-30-26 12:37:21,Biscotti,Pass,26.57565,Vault: Samples,1,,2
Flower & Bud (Count),1A40E01000170C4000009823,0203-F2-BIS,0203-F2-BIS,,In Stock,03-30-26 00:00:00,03-30-26 12:37:21,Biscotti,Pass,26.57565,Vault: Samples,1,,2
Flower & Buds (Bulk),1A40E01000170C4000009196,0216-F35-BIS,0216-F35-BIS,,In Stock,02-26-26 00:00:00,04-21-26 12:06:36,Biscotti,Pass,29.39732,Vault: As,660,,660
Flower & Buds (Bulk),1A40E01000170C4000009724,0316-F1-BIS,0316-F1-BIS,,In Stock,03-30-26 00:00:00,04-13-26 10:50:58,Biscotti,Pass,32.16901,Vault: As,2800,,2800
