Type,ID,Batch,Harvest Batch Name,LegacyId,Status,Created,Last Modified,Strain,QA Result,QA Total,Room,Available,Finished Date,Grams
Immature Plants,1A40E01000170C4000010338,,,,In Stock,04-15-26 00:00:00,04-15-26 09:28:43,Aloha Sugar,,,CLONE RACK,60,,60
Immature Plants,1A40E01000170C4000010501,,,,In Stock,04-23-26 00:00:00,04-23-26 12:07:03,Aloha Sugar,,,CLONE RACK,60,,60
Immature Plants,1A40E01000170C4000010502,,,,In Stock,04-23-26 00:00:00,04-23-26 12:07:03,Aloha Sugar,,,CLONE RACK,30,,30
Immature Plants,1A40E01000170C4000010500,,,,In Stock,04-23-26 00:00:00,04-23-26 12:07:03,Aloha Sugar,,,CLONE RACK,30,,30
Immature Plants,1A40E01000170C4000010335,,,,In Stock,04-15-26 00:00:00,04-15-26 09:25:00,Bacio Gelato,,,CLONE RACK,60,,60
Immature Plants,1A40E01000170C4000010336,,,,In Stock,04-15-26 00:00:00,04-15-26 09:25:00,Bacio Gelato,,,CLONE RACK,30,,30
Immature Plants,1A40E01000170C4000010535,,,,In Stock,04-28-26 00:00:00,04-28-26 14:25:45,Bacio Gelato,,,CLONE RACK,60,,60
Immature Plants,1A40E01000170C4000010536,,,,In Stock,04-28-26 00:00:00,04-28-26 14:25:45,Bacio Gelato,,,CLONE RACK,60,,60
Immature Plants,1A40E01000170C4000010537,,,,In Stock,04-28-26 00:00:00,04-28-26 14:25:45,Bacio Gelato,,,CLONE RACK,60,,60
Immature Plants,1A40E01000170C4000010337,,,,In Stock,04-15-26 00:00:00,04-15-26 09:27:23,Biscotti,,,CLONE RACK,60,,60
Immature Plants,1A40E01000170C4000010527,,,,In Stock,04-28-26 00:00:00,04-28-26 14:12:19,Biscotti,,,CLONE RACK,60,,60
Immature Plants,1A40E01000170C4000010503,,,,In Stock,04-23-26 00:00:00,04-23-26 12:09:30,Bubble Bath,,,CLONE RACK,60,,60
Immature Plants,1A40E01000170C4000010504,,,,In Stock,04-23-26 00:00:00,04-23-26 12:16:36,Bubble Bath,,,CLONE RACK,30,,30
Immature Plants,1A40E01000170C4000010341,,,,In Stock,04-15-26 00:00:00,04-15-26 09:33:30,Cake Runtz,,,CLONE RACK,60,,60
Immature Plants,1A40E01000170C4000010342,,,,In Stock,04-15-26 00:00:00,04-15-26 09:33:30,Cake Runtz,,,CLONE RACK,60,,60
Immature Plants,1A40E01000170C4000010531,,,,In Stock,04-28-26 00:00:00,04-28-26 14:18:25,Cake Runtz,,,CLONE RACK,60,,60
Immature Plants,1A40E01000170C4000010532,,,,In Stock,04-28-26 00:00:00,04-28-26 14:18:25,Cake Runtz,,,CLONE RACK,60,,60
Immature Plants,1A40E01000170C4000010534,,,,In Stock,04-28-26 00:00:00,04-28-26 14:23:26,Cake Runtz,,,CLONE RACK,60,,60
Immature Plants,1A40E01000170C4000010339,,,,In Stock,04-15-26 00:00:00,04-15-26 09:31:05,Cereal Milk,,,CLONE RACK,30,,30
Immature Plants,1A40E01000170C4000010340,,,,In Stock,04-15-26 00:00:00,04-27-26 12:22:52,Cereal Milk,,,CLONE RACK,45,,45
Immature Plants,1A40E01000170C4000010539,,,,In Stock,04-28-26 00:00:00,04-28-26 14:30:29,Cereal Milk,,,CLONE RACK,60,,60
Immature Plants,1A40E01000170C4000010540,,,,In Stock,04-28-26 00:00:00,04-28-26 14:30:29,Cereal Milk,,,CLONE RACK,60,,60
Immature Plants,1A40E01000170C4000010538,,,,In Stock,04-28-26 00:00:00,04-28-26 14:30:29,Cereal Milk,,,CLONE RACK,60,,60
Immature Plants,1A40E01000170C4000010344,,,,In Stock,04-15-26 00:00:00,04-15-26 09:35:25,Mac 1,,,CLONE RACK,30,,30
Immature Plants,1A40E01000170C4000010343,,,,In Stock,04-15-26 00:00:00,04-15-26 09:35:25,Mac 1,,,CLONE RACK,60,,60
Immature Plants,1A40E01000170C4000010334,,,,In Stock,04-15-26 00:00:00,04-27-26 12:54:52,VerZace,,,CLONE RACK,18,,18
Immature Plants,1A40E01000170C4000010333,,,,In Stock,04-15-26 00:00:00,04-15-26 09:22:04,VerZace,,,CLONE RACK,60,,60
Immature Plants,1A40E01000170C4000010542,,,,In Stock,04-28-26 00:00:00,04-28-26 14:33:37,VerZace,,,CLONE RACK,60,,60
Immature Plants,1A40E01000170C4000010541,,,,In Stock,04-28-26 00:00:00,04-28-26 14:33:37,VerZace,,,CLONE RACK,30,,30
